QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0407|1|Which would evaluate to the OS family of a server, defined in inventory as "someserver," while Ansible connected to a different server?|||{{ hostvar['someserver']['ansible_os_family'] }}|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0407|1|Which would evaluate to the OS family of a server, defined in inventory as "someserver," while Ansible connected to a different server?|||{{ host_vars['someserver']['ansible_os_family'] }}|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0407|1|Which would evaluate to the OS family of a server, defined in inventory as "someserver," while Ansible connected to a different server?|||{{ hostvars['someserver']['ansible_os_family'] }}|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0408|1|In which directory should local facts be placed?|||This is defined in ansible.cfg|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0408|1|In which directory should local facts be placed?|||/etc/ansible/facts/|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0408|1|In which directory should local facts be placed?|||~/.ansible/facts.d/|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0408|1|In which directory should local facts be placed?|||/etc/ansible/facts.d/|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0409|1|What must you add to the task in order to store the output of an Ansible module in a variable called 'results'?|||out_var: results|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0409|1|What must you add to the task in order to store the output of an Ansible module in a variable called 'results'?|||results: output|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0409|1|What must you add to the task in order to store the output of an Ansible module in a variable called 'results'?|||register: results|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0409|1|What must you add to the task in order to store the output of an Ansible module in a variable called 'results'?|||variable: results|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0510|1|Which of the following is not a valid variable name?|||__________|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0510|1|Which of the following is not a valid variable name?|||50_Shades_of_Ansible|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0510|1|Which of the following is not a valid variable name?|||__hammer_time__|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0510|1|Which of the following is not a valid variable name?|||awesome_possum|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0511|1|Which of that he following can be used to import variables from a YAML file?|||add_vars|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0511|1|Which of the following can be used to import variables from a YAML file?|||include|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0511|1|Which of the following can be used to import variables from a YAML file?|||import_vars|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0511|1|Which of the following can be used to import variables from a YAML file?|||include_vars|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0512|1|Which of the following is a valid way of defining variables via the command line?|||--extra-vars 'hosts:vipers user:starbuck'|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0512|1|Which of the following is a valid way of defining variables via the command line?|||-e 'hosts:vipers user:starbuck'|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0512|1|Which of the following is a valid way of defining variables via the command line?|||--extra-vars 'hosts=vipers, user=starbuck'|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0512|1|Which of the following is a valid way of defining variables via the command line?|||-e 'hosts=vipers user=starbuck'|||1|100|||
