QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0516|5|Using role defaults is least important in terms of variable precedence.|||TRUE|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0516|5|Using role defaults is least important in terms of variable precedence.|||FALSE|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0517|1|Which best describes the dependency behavior of a role in a playbook?|||A role is listed multiple times, if roles_path is set accordingly|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0517|1|Which best describes the dependency behavior of a role in a playbook?|||A role can run multiple times as a dependency if allow_duplicates is set to "true" or "yes"|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0517|1|Which best describes the dependency behavior of a role in a playbook?|||Roles can be applied only once|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0517|1|Which best describes the dependency behavior of a role in a playbook?|||A role can be called multiple times if you intend to call that role both before and after the execution of the current role|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0518|1|In a dependencies list, which entry would call the "apache" role with the variable "vhosts=true?"|||- { role: apache, when vhosts == true }|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0518|1|In a dependencies list, which entry would call the "apache" role with the variable "vhosts=true?"|||- { role: apache, set_var: "{{ vhosts &#124; stdout.true }}" }|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0518|1|In a dependencies list, which entry would call the "apache" role with the variable "vhosts=true?"|||- { role: apache, vhosts: true }|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0518|1|In a dependencies list, which entry would call the "apache" role with the variable "vhosts=true?"|||- { role: apache, when vhosts is defined }|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0519|1|Under which conditions can Ansible Galaxy be used to install roles?|||From the Ansible community to your playbook directories|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0519|1|Under which conditions can Ansible Galaxy be used to install roles?|||To /dev/null|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0519|1|Under which conditions can Ansible Galaxy be used to install roles?|||To target machines so that ansible-agent may run them|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0519|1|Under which conditions can Ansible Galaxy be used to install roles?|||From Mercurial|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0520|1|Under which condition can you install multiple roles from Galaxy using a file with a list of role names?|||Only if role_path is set|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0520|1|Under which condition can you install multiple roles from Galaxy using a file with a list of role names?|||Only if the file contains role names in the "username.rolename" format|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0520|1|Under which condition can you install multiple roles from Galaxy using a file with a list of role names?|||Only as the ansible user|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0520|1|Under which condition can you install multiple roles from Galaxy using a file with a list of role names?|||Only if the file is in json format|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0521|1|What occurs when you execute the  "ansible-galaxy init newrole1 -p /etc/ansible/roles" command?|||It installs a role by the name "newrole1" in your playbook's roles directory|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0521|1|What occurs when you execute the  "ansible-galaxy init newrole1 -p /etc/ansible/roles" command?|||It installs a role by the name of "newrole1" at /etc/ansible/roles|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0521|1|What occurs when you execute the  "ansible-galaxy init newrole1 -p /etc/ansible/roles" command?|||It installs a role by the name of "newrole1" in ansible.cfg's roles_path value|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0521|1|What occurs when you execute the  "ansible-galaxy init newrole1 -p /etc/ansible/roles" command?|||It prepopulates the  "newrole1" role with task lists included at /etc/ansible/roles|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0522|1|What is Ansible Galaxy?|||An Ansible module used to control various cloud providers|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0522|1|What is Ansible Galaxy?|||A collection of community contributed roles|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0522|1|What is Ansible Galaxy?|||A collection of Ansible supported roles|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0522|1|What is Ansible Galaxy?|||A collection of inventory plug-ins|||0|0|||
